channel_id,id,title,url,date_added
UC8ENHE5xdFSwx71u3fDH5Xw,1,"Rust Foundation IS DOING WHAT????",https://www.youtube.com/watch?v=gutR_LNoZw0,"2023-04-30 13:08:16"
UCUyeluBRhGPCW4rPe_UvBZQ,2,"Have We Forgotten How To Program?? | Prime Reacts",https://www.youtube.com/watch?v=NmHUjxKpD90,"2023-04-30 13:08:29"
UCVk4b-svNJoeytrrlOixebQ,3,"Prime React Stream 04/25 - George Hotz",https://www.youtube.com/watch?v=dhNAd59Icx0,"2023-04-30 13:08:46"
UCRzN-cp4uH1QqpPRaeXXC7A,4,"Tanukana the ChinChin Sommelier",https://www.youtube.com/watch?v=gyX9RWJ8xxg,"2023-04-30 13:09:08"
UCsBjURrPoezykLs9EqgamOA,5,"10 Math Concepts for Programmers",https://www.youtube.com/watch?v=bOCHTHkBoAs,"2023-04-30 13:09:28"
UCGzg7kiBe7AiTJQYg4TN1jQ,6,"Комбре: потерянный рай Марселя Пруста [В поисках утраченного времени, Том 1, Часть 1. Лекция #3] ✔️",https://www.youtube.com/watch?v=C1vIR_iHz2U,"2023-04-30 13:20:49"
UC9nsIKnRc77Ia3EIjEFwAbA,7,"Вождь синекожих))",https://www.youtube.com/watch?v=Z0epp2mlf-M,"2023-04-30 13:26:46"
UChLpUGaZO35ICTltBP50VSg,8,"Вещество изменившее Мир, или почему мы не говорим по-испански. Техникум Марка Солонина",https://www.youtube.com/watch?v=ADanNowjQKg,"2023-04-30 13:36:31"
UCpakYOycn3O5W5S50l-0VIg,9,"Марк Солонин. Диванные размышления и не только.",https://www.youtube.com/watch?v=GVRWld1sEB4,"2023-04-30 13:37:49"
UCerQaVkZZmSAcMMPPz5tDZQ,10,"СПЕЦ Выпуск. Как стать Офицером и служить в ВС США. Гари Юрий Табах",https://www.youtube.com/watch?v=nmfwG36NUbo,"2023-04-30 13:38:23"
UCMwJJL5FJFuTRT55ksbQ4GQ,11,"Asmon POPS OFF on a Twitter User Complaining About Genocide in WoW",https://www.youtube.com/watch?v=51hpgfkg5_Y,"2023-04-30 21:40:44"
UCUyeluBRhGPCW4rPe_UvBZQ,12,"Typing Fast DOESN'T Help | Prime Reacts",https://www.youtube.com/watch?v=PR9DgjZO1Q4,"2023-04-30 21:40:44"
UChLpUGaZO35ICTltBP50VSg,13,"Cнаряды с обедненным ураном, или фобия не лечится словами. Техникум Марка Солонина",https://www.youtube.com/watch?v=JkY7LPo5Qh8,"2023-04-30 21:40:44"
UCKJtYrlWaF3G0LIneEKoPew,14,"No Sir I Would Never Start a Fire, But",https://www.youtube.com/watch?v=ope5NwjhjW4,"2023-04-30 21:55:47"
UCWg8qBLp6wkDs7hVYe_SW6A,15,"ИСТОРИЯ ЛЕГЕНДЫ ИГРАЮЩЕЙ С РЕЛИЗА STANDOFF2/СТАНДОФФ2",https://www.youtube.com/watch?v=JIXGzCDtWdE,"2023-04-30 22:55:59"
UCMwJJL5FJFuTRT55ksbQ4GQ,16,"Asmongold LOSES IT while watching ""Men vs Women survival game""",https://www.youtube.com/watch?v=Aob0DG9xew4,"2023-05-01 00:11:14"
UCMwJJL5FJFuTRT55ksbQ4GQ,17,"Requirements To Buy a $20,000 Bag..",https://www.youtube.com/watch?v=3srMlVrkUNM,"2023-05-01 01:41:33"
UCMwJJL5FJFuTRT55ksbQ4GQ,18,"We Have Officially Hit Rock Bottom",https://www.youtube.com/watch?v=9O1Tz6PXevY,"2023-05-01 04:42:12"
UCpakYOycn3O5W5S50l-0VIg,19,"не-Поздравление с первым мая.",https://www.youtube.com/watch?v=DzY0E-bB550,"2023-05-01 06:12:32"
UCUyeluBRhGPCW4rPe_UvBZQ,20,"Vim Won't Make You MORE Productive",https://www.youtube.com/watch?v=m7no4O-JKDA,"2023-05-01 16:00:50"
UCerQaVkZZmSAcMMPPz5tDZQ,21,"Бомбят ли американцы свои ""Воронежи""?Нужно ли отнять у РФ Ядерное Оружие?А где Китай?Гари Юрий Табах",https://www.youtube.com/watch?v=STXDyGtyGCU,"2023-05-01 16:00:50"
UCVk4b-svNJoeytrrlOixebQ,22,"JavaScript Memory / GC Research | Stream 04/27",https://www.youtube.com/watch?v=TKFXudkFQpY,"2023-05-01 16:15:53"
UCUyeluBRhGPCW4rPe_UvBZQ,23,"🚨 LIVE 🚨 TECH REACT",https://www.youtube.com/watch?v=kiqGxLXH74E,"2023-05-01 18:16:14"
UCWg8qBLp6wkDs7hVYe_SW6A,24,"ОЙ🙃STANDOFF2/СТАНДОФФ2 #standoff2 #стендофф2 #standoff #gaming #game #олд",https://www.youtube.com/watch?v=gnhkeruxtQQ,"2023-05-02 02:09:24"
UCCezIgC97PvUuR4_gbFUs5g,25,"Python Tutorial: Simulate the Powerball Lottery Using Python",https://www.youtube.com/watch?v=HZ8uXq5VG2w,"2023-05-02 02:39:30"
UC_mYaQAE6-71rjSN6CeCA-g,26,"GPT-4 is OVERHYPED",https://www.youtube.com/watch?v=3A_YMWcx4HI,"2023-05-02 02:39:30"
UCjxnePJnhtHMMN2CWdqNMdw,27,"The best new Leglock meta strategy",https://www.youtube.com/watch?v=9ZFo6oR9200,"2023-05-02 02:39:30"
UCpakYOycn3O5W5S50l-0VIg,28,"Очередной крах банка. ФРС признали, что экономика идет к рецессии.",https://www.youtube.com/watch?v=nGO5XuG9IeU,"2023-05-02 05:10:06"
UC9MK8SybZcrHR3CUV4NMy2g,29,"Как читаю книги, бумага/iPad/eink, скорочтение, надо ли дочитывать книги и что происходит в Ботаним",https://www.youtube.com/watch?v=MhgTVLzXYzs,"2023-05-02 09:26:03"
UCe_TcJarfs-HKy3NySy8Kng,30,"Программирование: Как быстро и эффективно влиться в новую команду",https://www.youtube.com/watch?v=j0FqpElgDQ4,"2023-05-02 09:41:07"
UC_ML5xP23TOWKUcc-oAE_Eg,31,"A Deep Dive in How Slow SELECT * is",https://www.youtube.com/watch?v=wybjsKtA9hI,"2023-05-02 15:12:31"
UCUyeluBRhGPCW4rPe_UvBZQ,32,"Why I Switched From JS to Rust",https://www.youtube.com/watch?v=XzbzhyBp-HE,"2023-05-02 17:29:11"
UCVk4b-svNJoeytrrlOixebQ,33,"Learning Zig | Day 1",https://www.youtube.com/watch?v=1gvdG4Ahr_4,"2023-05-02 17:29:11"
UCerQaVkZZmSAcMMPPz5tDZQ,34,"Американские Горки 14 | Что Творится в США. Гари Юрий Табах и Мария Максакова",https://www.youtube.com/watch?v=uiRbL35oObY,"2023-05-02 17:29:11"
UChU3lfZCyVKtVH2i10T31nw,35,"Что Такое Счастье? | Маргулан Сейсембаев",https://www.youtube.com/watch?v=9QW1uUJR0Ts,"2023-05-02 17:34:34"
UChU3lfZCyVKtVH2i10T31nw,36,"Почему Люди Несчастливы? | Маргулан Сейсембаев",https://www.youtube.com/watch?v=l4ueEs9fDyU,"2023-05-02 17:39:25"
UCerQaVkZZmSAcMMPPz5tDZQ,37,"Стрим №11 Гари Юрий Табах. 03.05.23 13:00 Майами, 20:00 Киев. Скандалы в США,  договорняк России СШа",https://www.youtube.com/watch?v=WY0vggzYlUU,"2023-05-02 17:54:30"
UCF8oVPFpRjJYQI0hC0ZnAtg,38,"В тираническом обществе тирания проявляется на каждом его уровне | Джордан Питерсон",https://www.youtube.com/watch?v=Bfq8hOPHMb4,"2023-05-02 18:39:43"
UCsBjURrPoezykLs9EqgamOA,39,"Vercel dropped a database and leaked new Next.js features",https://www.youtube.com/watch?v=Km0aNxhVuC4,"2023-05-02 21:10:28"
UC_ML5xP23TOWKUcc-oAE_Eg,40,"Postgres, JSON and TOAST #database",https://www.youtube.com/watch?v=KAFZMcGZukw,"2023-05-02 22:10:47"
UCpakYOycn3O5W5S50l-0VIg,41,"Борис Пинкус. Отношение к Украине – политическая лакмусовая бумажка.",https://www.youtube.com/watch?v=dkjcjhH_Dxo,"2023-05-03 08:13:50"
UC9nsIKnRc77Ia3EIjEFwAbA,42,"Безконтактный удар))",https://www.youtube.com/watch?v=R657ze6Du4c,"2023-05-03 13:00:16"
UCerQaVkZZmSAcMMPPz5tDZQ,43,"ТАЙНЫЕ переговоры России и США. КРАСНАЯ ЛИНИЯ и Шантаж. Кто помогает Украине. Гари Юрий Табах",https://www.youtube.com/watch?v=F8Y1_UlX_A4,"2023-05-03 15:57:13"
UC9MK8SybZcrHR3CUV4NMy2g,44,"Философия и практика Obsidian — организация знаний и жизни",https://www.youtube.com/watch?v=unvwJRgX2bs,"2023-05-03 16:27:22"
UChU3lfZCyVKtVH2i10T31nw,45,"Для Чего Я Живу? | Маргулан Сейсембаев",https://www.youtube.com/watch?v=u-dwxCdndEk,"2023-05-03 16:27:22"
UCUyeluBRhGPCW4rPe_UvBZQ,46,"How to -10x Engineer Correctly",https://www.youtube.com/watch?v=pHJmmTivG1k,"2023-05-03 17:56:48"
UCsBjURrPoezykLs9EqgamOA,47,"The first casualties of AI",https://www.youtube.com/watch?v=PR_ykicOZYU,"2023-05-03 22:13:05"
UCjxnePJnhtHMMN2CWdqNMdw,48,"Complete 5050 Defense & Offense Leglock system",https://www.youtube.com/watch?v=qfY29dIXxoo,"2023-05-04 02:44:27"
UChU3lfZCyVKtVH2i10T31nw,49,"Самый Опасный Аэропорт В Мире! | Маргулан Сейсембаев",https://www.youtube.com/watch?v=zIBWASlXL4g,"2023-05-04 13:10:24"
UCerQaVkZZmSAcMMPPz5tDZQ,50,"Zelensky in Finland. Strike Russia in the heart. Nukes Threats by KGB thug. Gary Yuri Tabach TVP",https://www.youtube.com/watch?v=pm8gMjfpOR0,"2023-05-04 16:11:18"
UCerQaVkZZmSAcMMPPz5tDZQ,51,"АМЕРИКАНСКИЕ ГОРКИ. Тайные переговоры России и США. Красная Линия. Мария Максакова и Гари Юрий Табах",https://www.youtube.com/watch?v=P-7NkV7GVXg,"2023-05-04 17:56:50"
UCUyeluBRhGPCW4rPe_UvBZQ,52,"Hot Spot Optimizations | Prime Reacts",https://www.youtube.com/watch?v=qYTMrYoc57w,"2023-05-04 19:42:20"
